id	geom	mi	inom	nome_carta
14	0106000020EF7C00000100000001030000000100000005000000CA75A6D92FB80941518088EDE36D5B41ECDCC13FE4AE0941822636206B7B5B419C65F99092380B4182F75720AD7B5B41FA65CF6276410B41767F4D2A266E5B41CA75A6D92FB80941518088EDE36D5B41	2845-3-NE	SG-23-V-C-I-3-NE	\N
15	0106000020EF7C00000100000001030000000100000005000000FA65CF6276410B41767F4D2A266E5B419C65F99092380B4182F75720AD7B5B41CABC2E203AC20C415A774F2FEC7B5B419885EA34B6CA0C41A7B43573656E5B41FA65CF6276410B41767F4D2A266E5B41	2845-4-NO	SG-23-V-C-I-4-NO	\N
16	0106000020EF7C00000100000001030000000100000005000000CFAE681135640E41326E3D9A94535B410821C1900D5C0E412AB983371B615B416AD217BCD8E40F4184D3DCCD54615B417CB6149F97EC0F41B8469364CE535B41CFAE681135640E41326E3D9A94535B41	\N	SG-23-V-C-V-1-NO	\N
17	0106000020EF7C000001000000010300000001000000050000009885EA34B6CA0C41A7B43573656E5B41CABC2E203AC20C415A774F2FEC7B5B4148A1143CDB4B0E41AE726A4D287C5B4139582A9EEF530E41C1FF8EC8A16E5B419885EA34B6CA0C41A7B43573656E5B41	2845-4-NE	SG-23-V-C-I-4-NE	\N
18	0106000020EF7C000001000000010300000001000000050000000821C1900D5C0E412AB983371B615B4139582A9EEF530E41C1FF8EC8A16E5B41AA4CBFEC22DD0F41229CA32ADB6E5B416AD217BCD8E40F4184D3DCCD54615B410821C1900D5C0E412AB983371B615B41	\N	SG-23-V-C-II-3-SO	\N
19	0106000020EF7C0000010000000103000000010000000500000039582A9EEF530E41C1FF8EC8A16E5B4148A1143CDB4B0E41AE726A4D287C5B41F4A15B3376D50F418812F37A617C5B41AA4CBFEC22DD0F41229CA32ADB6E5B4139582A9EEF530E41C1FF8EC8A16E5B41	\N	SG-23-V-C-II-3-NO	\N
20	0106000020EF7C00000100000001030000000100000005000000AA4CBFEC22DD0F41229CA32ADB6E5B41F4A15B3376D50F418812F37A617C5B41CD1B59AA85AF10410FDD2FB8977C5B41BFEA6B3728B310416A21BA99116F5B41AA4CBFEC22DD0F41229CA32ADB6E5B41	\N	SG-23-V-C-II-3-NE	\N
21	0106000020EF7C00000100000001030000000100000005000000ECDCC13FE4AE0941822636206B7B5B41265DEFA8A3A509412C02AB47F2885B415A577947B92F0B41D65DD70A34895B419C65F99092380B4182F75720AD7B5B41ECDCC13FE4AE0941822636206B7B5B41	2845-1-SE	SG-23-V-C-I-1-SE	\N
22	0106000020EF7C00000100000001030000000100000005000000265DEFA8A3A509412C02AB47F2885B417486F8176E9C0941B687F16379965B41C8F8F888EA260B41F072D6E9BA965B415A577947B92F0B41D65DD70A34895B41265DEFA8A3A509412C02AB47F2885B41	2845-1-NE	SG-23-V-C-I-1-NE	\N
23	0106000020EF7C000001000000010300000001000000050000007486F8176E9C0941B687F16379965B411E84A38F439309413839147500A45B41ECC81E58261E0B41630560BD41A45B41C8F8F888EA260B41F072D6E9BA965B417486F8176E9C0941B687F16379965B41	2829-3-SE	SG-23-V-A-IV-3-SE	\N
24	0106000020EF7C0000010000000103000000010000000500000048A1143CDB4B0E41AE726A4D287C5B41A057ED6CD0430E41945121C6AE895B4175833A92D2CD0F41F4B7D6BEE7895B41F4A15B3376D50F418812F37A617C5B4148A1143CDB4B0E41AE726A4D287C5B41	\N	SG-23-V-C-II-1-SO	\N
25	0106000020EF7C00000100000001030000000100000005000000A057ED6CD0430E41945121C6AE895B41AAE41E33CF3B0E41FCEABE3235975B4140D6A60B38C60F41E11C5AF66D975B4175833A92D2CD0F41F4B7D6BEE7895B41A057ED6CD0430E41945121C6AE895B41	\N	SG-23-V-C-II-1-NO	\N
26	0106000020EF7C00000100000001030000000100000005000000AAE41E33CF3B0E41FCEABE3235975B415BBF1091D7330E413C9C4E93BBA45B41FCB2E8A1A6BE0F41F4E08821F4A45B4140D6A60B38C60F41E11C5AF66D975B41AAE41E33CF3B0E41FCEABE3235975B41	2830-3-SO	SG-23-V-A-V-3-SO	\N
27	0106000020EF7C000001000000010300000001000000050000008CEB369459080841DA637A43BCA35B41548E8A2FD4FE07415C8A2F8A43B15B41201CB312248A09416FA61D7B87B15B411E84A38F439309413839147500A45B418CEB369459080841DA637A43BCA35B41	2829-3-NO	SG-23-V-A-IV-3-NO	\N
28	0106000020EF7C000001000000010300000001000000050000001E84A38F439309413839147500A45B41201CB312248A09416FA61D7B87B15B41A8078EB76C150B41CBF17E85C8B15B41ECC81E58261E0B41630560BD41A45B411E84A38F439309413839147500A45B41	2829-3-NE	SG-23-V-A-IV-3-NE	\N
29	0106000020EF7C00000100000001030000000100000005000000ECC81E58261E0B41630560BD41A45B41A8078EB76C150B41CBF17E85C8B15B41121DCF6EAEA00C415683A4A906B25B41063CDD3D02A90C4144F7AE1C80A45B41ECC81E58261E0B41630560BD41A45B41	2829-4-NO	SG-23-V-A-IV-4-NO	\N
30	0106000020EF7C00000100000001030000000100000005000000201CB312248A09416FA61D7B87B15B4190AEE6A30F810941A96C18760EBF5B4128B5E6A9BD0C0B41BE223E424FBF5B41A8078EB76C150B41CBF17E85C8B15B41201CB312248A09416FA61D7B87B15B41	2829-1-SE	SG-23-V-A-IV-1-SE	\N
31	0106000020EF7C0000010000000103000000010000000500000090AEE6A30F810941A96C18760EBF5B410635FA4506780941C0360F6695CC5B415291C53119040B41C090A8F3D5CC5B4128B5E6A9BD0C0B41BE223E424FBF5B4190AEE6A30F810941A96C18760EBF5B41	2829-1-NE	SG-23-V-A-IV-1-NE	\N
32	0106000020EF7C00000100000001030000000100000005000000063CDD3D02A90C4144F7AE1C80A45B41121DCF6EAEA00C415683A4A906B25B41A86B2789E92B0E4178D1DBE741B25B415BBF1091D7330E413C9C4E93BBA45B41063CDD3D02A90C4144F7AE1C80A45B41	2829-4-NE	SG-23-V-A-IV-4-NE	\N
33	0106000020EF7C000001000000010300000001000000050000005BBF1091D7330E413C9C4E93BBA45B41A86B2789E92B0E4178D1DBE741B25B41586545571EB70F41F1B26E407AB25B41FCB2E8A1A6BE0F41F4E08821F4A45B415BBF1091D7330E413C9C4E93BBA45B41	2830-3-NO	SG-23-V-A-V-3-NO	\N
34	0106000020EF7C00000100000001030000000100000005000000FCB2E8A1A6BE0F41F4E08821F4A45B41586545571EB70F41F1B26E407AB25B41E87EEA9426A11041905FA3B3AFB25B416E0949E0B7A410411812A4C729A55B41FCB2E8A1A6BE0F41F4E08821F4A45B41	2830-3-NE	SG-23-V-A-V-3-NE	\N
35	0106000020EF7C00000100000001030000000100000005000000A86B2789E92B0E4178D1DBE741B25B41177AC41D05240E4186057230C8BF5B41946BFF2D9FAF0F41A950175300C05B41586545571EB70F41F1B26E407AB25B41A86B2789E92B0E4178D1DBE741B25B41	2830-1-SO	SG-23-V-A-V-1-SO	\N
36	0106000020EF7C00000100000001030000000100000005000000177AC41D05240E4186057230C8BF5B41318746512A1C0E41E6C11C6D4ECD5B411676562829A80F41EE868E5986CD5B41946BFF2D9FAF0F41A950175300C05B41177AC41D05240E4186057230C8BF5B41	2830-1-NO	SG-23-V-A-V-1-NO	\N
37	0106000020EF7C00000100000001030000000100000005000000B43ADAD6AD4C124114FB830AD82B5B41DDA38CC55F491241A2F1EB0F5E395B415060D74E1D0D1341AA075F4C8C395B41044FA06B361013410A8C9C6F062C5B41B43ADAD6AD4C124114FB830AD82B5B41	\N	SG-23-V-C-VI-3-SO	\N
38	0106000020EF7C0000010000000103000000010000000500000072DE89AC29BE10411878C7F17E465B4170579D397ABA1041F996913605545B410E4683EDA57E11414E727B1039545B41D217B6DD2082114198CD17FAB2465B4172DE89AC29BE10411878C7F17E465B41	\N	SG-23-V-C-V-2-SO	\N
39	0106000020EF7C00000100000001030000000100000005000000DDA38CC55F491241A2F1EB0F5E395B41A4E68A83154612416610EC07E4465B4136755CC4070A13412819801B12475B415060D74E1D0D1341AA075F4C8C395B41DDA38CC55F491241A2F1EB0F5E395B41	\N	SG-23-V-C-VI-3-NO	\N
40	0106000020EF7C00000100000001030000000100000005000000D217B6DD2082114198CD17FAB2465B410E4683EDA57E11414E727B1039545B414353D111CF421241104890F269545B41A4E68A83154612416610EC07E4465B41D217B6DD2082114198CD17FAB2465B41	\N	SG-23-V-C-V-2-SE	\N
41	0106000020EF7C00000100000001030000000100000005000000A4E68A83154612416610EC07E4465B414353D111CF421241104890F269545B41B3E81BCDF506134140E40BDD97545B4136755CC4070A13412819801B12475B41A4E68A83154612416610EC07E4465B41	\N	SG-23-V-C-VI-1-SO	\N
42	0106000020EF7C0000010000000103000000010000000500000069727F1541971441C800223C5A2C5B41D08AB5D6919414413B0878CFDF395B41BC8B6D21495815410F898316053A5B41864D3C76C35A1541FA8DF4A37F2C5B4169727F1541971441C800223C5A2C5B41	\N	SG-23-V-C-VI-4-SE	\N
43	0106000020EF7C0000010000000103000000010000000500000036755CC4070A13412819801B12475B41B3E81BCDF506134140E40BDD97545B418AB8F6451ACB13411C7026D0C2545B41A1407EC6F7CD1341081D0C353D475B4136755CC4070A13412819801B12475B41	\N	SG-23-V-C-VI-1-SE	\N
44	0106000020EF7C00000100000001030000000100000005000000D08AB5D6919414413B0878CFDF395B41BA2343B0E591144136AEC45465475B419261FDA7D15515417ABCDA7A8A475B41BC8B6D21495815410F898316053A5B41D08AB5D6919414413B0878CFDF395B41	\N	SG-23-V-C-VI-4-NE	\N
45	0106000020EF7C00000100000001030000000100000005000000A1407EC6F7CD1341081D0C353D475B418AB8F6451ACB13411C7026D0C2545B4112C9F4A23C8F1441B17214CCEA545B41BA2343B0E591144136AEC45465475B41A1407EC6F7CD1341081D0C353D475B41	\N	SG-23-V-C-VI-2-SO	\N
46	0106000020EF7C00000100000001030000000100000005000000BA2343B0E591144136AEC45465475B4112C9F4A23C8F1441B17214CCEA545B41DD7FA80A5D53154160D106D10F555B419261FDA7D15515417ABCDA7A8A475B41BA2343B0E591144136AEC45465475B41	\N	SG-23-V-C-VI-2-SE	\N
47	0106000020EF7C000001000000010300000001000000050000004353D111CF421241104890F269545B418C0D5B718C3F1241B199E4CFEF615B4134FC006AE7031341589D0E911D625B41B3E81BCDF506134140E40BDD97545B414353D111CF421241104890F269545B41	\N	SG-23-V-C-VI-1-NO	\N
48	0106000020EF7C00000100000001030000000100000005000000BFEA6B3728B310416A21BA99116F5B41CD1B59AA85AF10410FDD2FB8977C5B41CC6F62774D74114148B66305CB7C5B4140415039BC7711412F841516456F5B41BFEA6B3728B310416A21BA99116F5B41	\N	SG-23-V-C-II-4-NO	\N
49	0106000020EF7C000001000000010300000001000000050000008C0D5B718C3F1241B199E4CFEF615B41AA0C22A34D3C1241B016F59F756F5B4164D7F59BDC00134172899437A36F5B4134FC006AE7031341589D0E911D625B418C0D5B718C3F1241B199E4CFEF615B41	\N	SG-23-V-C-III-3-SO	\N
50	0106000020EF7C0000010000000103000000010000000500000040415039BC7711412F841516456F5B41CC6F62774D74114148B66305CB7C5B41FF1A1FA812391241BCE0CD62FB7C5B41AA0C22A34D3C1241B016F59F756F5B4140415039BC7711412F841516456F5B41	\N	SG-23-V-C-II-4-NE	\N
51	0106000020EF7C00000100000001030000000100000005000000AA0C22A34D3C1241B016F59F756F5B41FF1A1FA812391241BCE0CD62FB7C5B41F887E363D5FD124120FEA9D0287D5B4164D7F59BDC00134172899437A36F5B41AA0C22A34D3C1241B016F59F756F5B41	\N	SG-23-V-C-III-3-NO	\N
52	0106000020EF7C0000010000000103000000010000000500000012C9F4A23C8F1441B17214CCEA545B41DA1296AF968C1441CFE6733570625B415AB62A4AEB5015414D82141995625B41DD7FA80A5D53154160D106D10F555B4112C9F4A23C8F1441B17214CCEA545B41	\N	SG-23-V-C-VI-2-NE	\N
53	0106000020EF7C0000010000000103000000010000000500000064D7F59BDC00134172899437A36F5B41F887E363D5FD124120FEA9D0287D5B41EE4A03D295C21341F00F304F537D5B41C75FDF4A69C51341DEEB2BDDCD6F5B4164D7F59BDC00134172899437A36F5B41	\N	SG-23-V-C-III-3-NE	\N
54	0106000020EF7C00000100000001030000000100000005000000DA1296AF968C1441CFE6733570625B4100A5F1D6F3891441D0ACEF90F56F5B4182F33E677C4E1541209B10531A705B415AB62A4AEB5015414D82141995625B41DA1296AF968C1441CFE6733570625B41	\N	SG-23-V-C-III-4-SE	\N
55	0106000020EF7C00000100000001030000000100000005000000C75FDF4A69C51341DEEB2BDDCD6F5B41EE4A03D295C21341F00F304F537D5B41392FD11954871441FE7794DE7A7D5B4100A5F1D6F3891441D0ACEF90F56F5B41C75FDF4A69C51341DEEB2BDDCD6F5B41	\N	SG-23-V-C-III-4-NO	\N
56	0106000020EF7C0000010000000103000000010000000500000000A5F1D6F3891441D0ACEF90F56F5B41392FD11954871441FE7794DE7A7D5B416E449F62104C1541FEF8077F9F7D5B4182F33E677C4E1541209B10531A705B4100A5F1D6F3891441D0ACEF90F56F5B41	\N	SG-23-V-C-III-4-NE	\N
57	0106000020EF7C00000100000001030000000100000005000000FF1A1FA812391241BCE0CD62FB7C5B41EAD54981DB351241B8297B18818A5B419201B2C2D1FA12416F615B5CAE8A5B41F887E363D5FD124120FEA9D0287D5B41FF1A1FA812391241BCE0CD62FB7C5B41	\N	SG-23-V-C-III-1-SO	\N
58	0106000020EF7C00000100000001030000000100000005000000EAD54981DB351241B8297B18818A5B4197AD982FA8321241B43309C106985B41841D48B9D1F71241DA29B5DA33985B419201B2C2D1FA12416F615B5CAE8A5B41EAD54981DB351241B8297B18818A5B41	\N	SG-23-V-C-III-1-NO	\N
59	0106000020EF7C0000010000000103000000010000000500000097AD982FA8321241B43309C106985B41D4E400B4782F1241D250845C8CA55B41AA9A8B48D5F412413CDEC34BB9A55B41841D48B9D1F71241DA29B5DA33985B4197AD982FA8321241B43309C106985B41	\N	SG-23-V-A-VI-3-SO	\N
60	0106000020EF7C00000100000001030000000100000005000000392FD11954871441FE7794DE7A7D5B41DE6CFD78B7841441A30C6F1E008B5B41B0D4043DA74915413F8A079D248B5B416E449F62104C1541FEF8077F9F7D5B41392FD11954871441FE7794DE7A7D5B41	\N	SG-23-V-C-III-2-SE	\N
61	0106000020EF7C00000100000001030000000100000005000000DE6CFD78B7841441A30C6F1E008B5B41BC243EF51D821441F23F8C5085985B4130EE27F740471541624E1CADA9985B41B0D4043DA74915413F8A079D248B5B41DE6CFD78B7841441A30C6F1E008B5B41	\N	SG-23-V-C-III-2-NE	\N
62	0106000020EF7C00000100000001030000000100000005000000BC243EF51D821441F23F8C5085985B41FC285A8F877F1441FBF7F8740AA65B410CF9BF91DD441541FA5553AF2EA65B4130EE27F740471541624E1CADA9985B41BC243EF51D821441F23F8C5085985B41	\N	SG-23-V-A-VI-4-SE	\N
63	0106000020EF7C000001000000010300000001000000050000006E0949E0B7A410411812A4C729A55B41E87EEA9426A11041905FA3B3AFB25B413EE5BF28BB661141F870BC41E2B25B41B8CA9B9E196A114118DDE2855CA55B416E0949E0B7A410411812A4C729A55B41	2830-4-NO	SG-23-V-A-V-4-NO	\N
64	0106000020EF7C00000100000001030000000100000005000000B8CA9B9E196A114118DDE2855CA55B413EE5BF28BB661141F870BC41E2B25B41D990760F4D2C124144E3F8EA11B35B41D4E400B4782F1241D250845C8CA55B41B8CA9B9E196A114118DDE2855CA55B41	2830-4-NE	SG-23-V-A-V-4-NE	\N
65	0106000020EF7C00000100000001030000000100000005000000D4E400B4782F1241D250845C8CA55B41D990760F4D2C124144E3F8EA11B35B41461D6171DCF11241BC1594AF3EB35B41AA9A8B48D5F412413CDEC34BB9A55B41D4E400B4782F1241D250845C8CA55B41	\N	SG-23-V-A-VI-3-NO	\N
66	0106000020EF7C00000100000001030000000100000005000000D990760F4D2C124144E3F8EA11B35B412499EC4225291241305D736C97C05B41C02EAC34E7EE1241C1773206C4C05B41461D6171DCF11241BC1594AF3EB35B41D990760F4D2C124144E3F8EA11B35B41	\N	SG-23-V-A-VI-1-SO	\N
67	0106000020EF7C000001000000010300000001000000050000002499EC4225291241305D736C97C05B4139B7544F01261241AA4000E11CCE5B418C3D4F93F5EB1241E2BBAB4F49CE5B41C02EAC34E7EE1241C1773206C4C05B412499EC4225291241305D736C97C05B41	\N	SG-23-V-A-VI-1-NO	\N
68	0106000020EF7C00000100000001030000000100000005000000AA9A8B48D5F412413CDEC34BB9A55B41461D6171DCF11241BC1594AF3EB35B411226D17669B7134164CBC58F68B35B419F394E842FBA1341FA58D953E3A55B41AA9A8B48D5F412413CDEC34BB9A55B41	\N	SG-23-V-A-VI-3-NE	\N
69	0106000020EF7C000001000000010300000001000000050000009F394E842FBA1341FA58D953E3A55B411226D17669B7134164CBC58F68B35B41F2561748F47C14419A2BC28B8FB35B41FC285A8F877F1441FBF7F8740AA65B419F394E842FBA1341FA58D953E3A55B41	\N	SG-23-V-A-VI-4-NO	\N
70	0106000020EF7C00000100000001030000000100000005000000FC285A8F877F1441FBF7F8740AA65B41F2561748F47C14419A2BC28B8FB35B41757B830D7D4215419AC2B9A3B3B35B410CF9BF91DD441541FA5553AF2EA65B41FC285A8F877F1441FBF7F8740AA65B41	\N	SG-23-V-A-VI-4-NE	\N
71	0106000020EF7C00000100000001030000000100000005000000F2561748F47C14419A2BC28B8FB35B41FC963A20647A144167E2F49414C15B418A19286B1F401541CCC65C8A38C15B41757B830D7D4215419AC2B9A3B3B35B41F2561748F47C14419A2BC28B8FB35B41	\N	SG-23-V-A-VI-2-SE	\N
72	0106000020EF7C00000100000001030000000100000005000000FC963A20647A144167E2F49414C15B415ADC8718D7771441A4349E9099CE5B41399562ABC43D1541FEA54963BDCE5B418A19286B1F401541CCC65C8A38C15B41FC963A20647A144167E2F49414C15B41	\N	SG-23-V-A-VI-2-NE	\N
73	0106000020EF7C000001000000010300000001000000050000001CDE636A9F961741FD42704B05995B412EF8A6F5D494174199D872F789A65B41C2380B66245A1841C81A5698A2A65B414BD9A9E4BB5B1841D34496031E995B411CDE636A9F961741FD42704B05995B41	\N	SG-23-V-B-IV-4-SE	\N
74	0106000020EF7C000001000000010300000001000000050000000CF9BF91DD441541FA5553AF2EA65B41757B830D7D4215419AC2B9A3B3B35B41F88E64EF030816410082D9D7D4B35B415E728FB3310A16410072150350A65B410CF9BF91DD441541FA5553AF2EA65B41	\N	SG-23-V-B-IV-3-NO	\N
75	0106000020EF7C000001000000010300000001000000050000005E728FB3310A16410072150350A65B41F88E64EF030816410082D9D7D4B35B41A2CC081689CD164140C14A28F3B35B411EA5D71C84CF1641DFAF68706EA65B415E728FB3310A16410072150350A65B41	\N	SG-23-V-B-IV-3-NE	\N
76	0106000020EF7C000001000000010300000001000000050000001EA5D71C84CF1641DFAF68706EA65B41A2CC081689CD164140C14A28F3B35B4128BFBDA90C931741123E33950EB45B412EF8A6F5D494174199D872F789A65B411EA5D71C84CF1641DFAF68706EA65B41	\N	SG-23-V-B-IV-4-NO	\N
77	0106000020EF7C000001000000010300000001000000050000002EF8A6F5D494174199D872F789A65B4128BFBDA90C931741123E33950EB45B410651D0D28E581841D81CB51E27B45B41C2380B66245A1841C81A5698A2A65B412EF8A6F5D494174199D872F789A65B41	\N	SG-23-V-B-IV-4-NE	\N
78	0106000020EF7C00000100000001030000000100000005000000C2380B66245A1841C81A5698A2A65B410651D0D28E581841D81CB51E27B45B4158DC8CB90F1E1941F6E8EEC43CB45B4180A91196721F1941F60A3153B8A65B41C2380B66245A1841C81A5698A2A65B41	\N	SG-23-V-B-V-3-NO	\N
79	0106000020EF7C0000010000000103000000010000000500000080A91196721F1941F60A3153B8A65B4158DC8CB90F1E1941F6E8EEC43CB45B41E53A3F868FE319412495FB874FB45B41F811C7ADBFE41941EDA31E28CBA65B4180A91196721F1941F60A3153B8A65B41	\N	SG-23-V-B-V-3-NE	\N
80	0106000020EF7C0000010000000103000000010000000500000028BFBDA90C931741123E33950EB45B412A343087469117412812BF2493C15B41C4F8712BFB561841F606C196ABC15B410651D0D28E581841D81CB51E27B45B4128BFBDA90C931741123E33950EB45B41	\N	SG-23-V-B-IV-2-SE	\N
81	0106000020EF7C000001000000010300000001000000050000002A343087469117412812BF2493C15B41CCAE858E828F17410C0524A617CF5B41F76F687069551841AEA6870030CF5B41C4F8712BFB561841F606C196ABC15B412A343087469117412812BF2493C15B41	\N	SG-23-V-B-IV-2-NE	\N
82	0106000020EF7C0000010000000103000000010000000500000001DFD545F1E51941F869AEB946995B41F811C7ADBFE41941EDA31E28CBA65B41CCCD37D50BAA1A4101473617DBA65B41D5A6567C0AAB1A41DAF7D2B756995B4101DFD545F1E51941F869AEB946995B41	\N	SG-23-V-B-V-4-SO	\N
83	0106000020EF7C00000100000001030000000100000005000000C43F1D1552FA1C419466853F75995B41427D643AECF91C41F2402D82F9A65B41C2CA373136BF1D4106E48EDAFDA65B417F9A741E69BF1D4118CE019C79995B41C43F1D1552FA1C419466853F75995B41	\N	SG-23-V-B-VI-4-SO	\N
84	0106000020EF7C00000100000001030000000100000005000000F811C7ADBFE41941EDA31E28CBA65B41E53A3F868FE319412495FB874FB45B41FFD532610EA91A41B57BF2675FB45B41CCCD37D50BAA1A4101473617DBA65B41F811C7ADBFE41941EDA31E28CBA65B41	\N	SG-23-V-B-V-4-NO	\N
85	0106000020EF7C00000100000001030000000100000005000000CCCD37D50BAA1A4101473617DBA65B41FFD532610EA91A41B57BF2675FB45B41C8B6B2728C6E1B41D85EE7646CB45B415CDC6F34576F1B414BBC8B20E8A65B41CCCD37D50BAA1A4101473617DBA65B41	\N	SG-23-V-B-V-4-NE	\N
86	0106000020EF7C000001000000010300000001000000050000005CDC6F34576F1B414BBC8B20E8A65B41C8B6B2728C6E1B41D85EE7646CB45B41129609E309341C41C468EA7E76B45B41F4EF7AF3A1341C41DE322F44F2A65B415CDC6F34576F1B414BBC8B20E8A65B41	\N	SG-23-V-B-VI-3-NO	\N
87	0106000020EF7C00000100000001030000000100000005000000F4EF7AF3A1341C41DE322F44F2A65B41129609E309341C41C468EA7E76B45B4172EC81DA86F91C41F02B08B67DB45B41427D643AECF91C41F2402D82F9A65B41F4EF7AF3A1341C41DE322F44F2A65B41	\N	SG-23-V-B-VI-3-NE	\N
88	0106000020EF7C00000100000001030000000100000005000000E53A3F868FE319412495FB874FB45B41A0E998CF60E21941A92953D9D3C15B41AE31932012A81A41EB9415AAE3C15B41FFD532610EA91A41B57BF2675FB45B41E53A3F868FE319412495FB874FB45B41	\N	SG-23-V-B-V-2-SO	\N
89	0106000020EF7C00000100000001030000000100000005000000A0E998CF60E21941A92953D9D3C15B41053D2E8A33E11941605F331C58CF5B41F3F4A31317A71A4184A3ADDD67CF5B41AE31932012A81A41EB9415AAE3C15B41A0E998CF60E21941A92953D9D3C15B41	\N	SG-23-V-B-V-2-NO	\N
90	0106000020EF7C00000100000001030000000100000005000000427D643AECF91C41F2402D82F9A65B4172EC81DA86F91C41F02B08B67DB45B415B02668103BF1D4124A3490A82B45B41C2CA373136BF1D4106E48EDAFDA65B41427D643AECF91C41F2402D82F9A65B41	\N	SG-23-V-B-VI-4-NO	\N
91	0106000020EF7C00000100000001030000000100000005000000C2CA373136BF1D4106E48EDAFDA65B415B02668103BF1D4124A3490A82B45B410000000080841E41A231B47B83B45B410000000080841E41F580594DFFA65B41C2CA373136BF1D4106E48EDAFDA65B41	\N	SG-23-V-B-VI-4-NE	\N
92	0106000020EF7C0000010000000103000000010000000500000072EC81DA86F91C41F02B08B67DB45B41BEB693F521F91C41924A24DB01C25B41AF550E0FD1BE1D41A033402B06C25B415B02668103BF1D4124A3490A82B45B4172EC81DA86F91C41F02B08B67DB45B41	\N	SG-23-V-B-VI-2-SO	\N
